alpha,iterations,theta_norm,train_MSE,test_MSE,train_R2,test_R2
0.01,10,67.65534987761369,294796.69459543994,352448.95956952544,-1.56039543906896,-1.1139291709902759
0.01,50,238.48849351172763,138298.5227450892,170450.92790098902,-0.20116308411274364,-0.022335799068184503
0.01,100,362.3810299828946,70094.38121245493,94751.21534335219,0.39120981594782545,0.43169825683204444
0.1,10,371.7394878483196,66473.61090641,90873.00889705116,0.4226572641298212,0.4549590823086509
0.1,50,548.9295572005411,31510.716198081594,58929.62889851655,0.726320221649417,0.6465500658127721
0.1,100,552.7540680328256,31427.504038568943,58891.741728544854,0.7270429435713288,0.6467773066419329
0.5,10,10793.910786796898,616361041.0041496,688809805.7339079,-5352.275756271766,-4130.364562356775
0.5,50,1810779882738.0154,1.7084644118527006e+25,1.9044809143534993e+25,-1.4838512670307775e+20,-1.1422753993552147e+20
0.5,100,3.4246110495022263e+22,6.110786660150638e+45,6.811892881724131e+45,-5.307396785857706e+40,-4.0856579885851774e+40
